filename,number,day,height_px,length_px,area_px,green_area_px,black_area_px,white_area_px,brown_area_px,green_intensity,grade
goak01_D1_A0.png,1,1,532,762,297412,221512,36150,39438,312,45.47,B
goak01_D1_A180.png,1,1,624,726,313801,245545,55599,12017,640,47.28,A
goak01_D1_A270.png,1,1,582,678,265205,210441,30181,24583,0,49.64,C
goak01_D1_A90.png,1,1,621,716,283742,210339,46892,26376,135,46.58,B
goak01_D1_B0.png,1,1,781,751,287483,225725,33414,27933,411,46.06,A
goak01_D1_B180.png,1,1,649,813,354649,280251,65139,9255,4,48.99,A
goak01_D1_B270.png,1,1,555,782,282507,216770,41869,23757,111,45.89,B
goak01_D1_B90.png,1,1,502,690,261087,218570,30840,11676,1,52.47,C
goak01_D2_A0.png,1,2,645,917,394293,244592,16905,132054,742,42.84,A
goak01_D2_A180.png,1,2,693,846,406598,272168,60493,73313,624,44.33,A
goak01_D2_A270.png,1,2,737,791,413099,282448,39761,90204,686,44.34,A
goak01_D2_A90.png,1,2,702,819,419168,258692,30006,129568,902,44.22,A
goak01_D2_B0.png,1,2,656,770,381177,281042,49897,49657,581,43.19,A
goak01_D2_B180.png,1,2,689,805,405597,324150,65756,15554,137,48.94,A
goak01_D2_B270.png,1,2,581,842,386357,290405,45433,50445,74,47.45,A
goak01_D2_B90.png,1,2,611,815,358271,280118,50763,26843,547,47.09,A
goak01_D3_A0.png,1,3,542,872,339658,144946,17850,176061,801,40.03,B
goak01_D3_A180.png,1,3,577,824,364557,232396,44227,87841,93,45.52,A
goak01_D3_A270.png,1,3,610,807,371567,234929,29155,106951,532,42.66,A
goak01_D3_A90.png,1,3,746,746,362252,191568,28746,140766,1172,43.15,A
goak01_D3_B0.png,1,3,613,848,337316,252069,33050,51543,654,42.45,A
goak01_D3_B180.png,1,3,662,880,405126,325843,62366,16723,194,48.64,A
goak01_D3_B270.png,1,3,567,827,357564,282564,32567,41390,1043,46.96,A
goak01_D3_B90.png,1,3,622,784,346465,290421,31409,23691,944,49.26,A
goak02_D1_A0.png,2,1,521,723,259016,211611,27972,19264,169,49.9,C
